ID	Content	A	B	C	D
366	My attempt to pass the exam  was __. I failed badly.	unmerciful	unhopeful	unsuccessful	unhelpful
367	Chris __ at the City College for French.	enlisted	inscribed	enrolled	filled up
368	I admit I suffer from a  __ of patience with such people.	shortage	lack	emptiness	limit
369	The house is in good __  though it needs to be repainted.	condition	state	position	standing
370	"Hello,  Mary. I can't be sure I'll be home in time for dinner. I __ be late."	should	must	will	may
371	His suit was badly  made and didn't __ him properly.	meet	round	fit	frame
372	"He may be quick  __ understanding, but he's not capable of remembering anything."	at	in	on	for
373	He has some  important business to attend __.	at	to	with	for
374	You should not boast  __ your success.	of	with	from	at
375	"I'm sorry,  I haven't got __ change. Why don't you try the bank?"	some	lots	any	all
376	"An oppressive  __, and not the festive mood one might have expected charecterized the  mood of the gathering."	senility	capriciousness	inanity	solemnity
377	I think it's __ your luck to drive without  wearing a seat-belt.	risking	tempting	pushing	proving
378	"He said that if I looked back far enough in my family  tree, I would see that I was __ related to Charles Darwin."	previously	tenuously	slightly	distantly
379	I can't possibly mark your homework; your handwriting  is __.	illogical	illicit	illusive	illegible
380	Hello! You __ be the new assistant. I'm Mr  Munroe.	ought to	should	could	must
381	"Last year the potato harvest was very  disappointing, but this year it looks as though we shall have a better __."	product	outcome	amount	crop
382	He was in __ of  a large number of men.	management	leadership	charge	direction
383	"He was born during the war, which would __ him  about 50 now."	give	make	age	calculate
384	"Hugh  Jones never married, choosing to remain __ all his life."	separate	single	individual	divorced
385	The salesman showed us  __ the washing machine.	for using	how to use	the working  of	to work
386	The other driver failed to signal his __  to turn right so I had to brake suddenly.	purpose	idea	intention	design
387	I wish you wouldn't call him  __ that insulting name.	by	with	in	under
388	We had  __ reached the church when we saw everyone leaving.	quite	enough	rather	almost
389	"""My daughter, Mary, tries to  __ to see me at least once a week,"" Mrs Jones told the social worker."	call  up	go up	come on	drop in
390	"No, she isn't  stupid. __ she's rather clever, and always has been."	Actually	Currently	Recently	Now
391	The  Foreign Minister resigned as a(n) __ of the incident.	result	effect	reason	cause
392	The  names of the prizewinners will be __ in the next issue of the magazine.	informed	promised	announced	told
393	"When the  clock __ twelve, we raised our glasses and drank to celebrate the New  Year."	beat	hit	shot	struck
394	The  library is only open __ weekday mornings now.	in	at	on	for
395	His teachers think  he is very good __ drawing.	in	at	for	to
396	Every day thousands of __ fly the Atlantic for  negotiations with American firms.	merchants	dealers	businessmen	tradesmen
397	Prices continued to  rise while wages remained low __ the Government became increasingly  unpopular.	on condition that	with the result that	provided  that	on the chance that
398	I would help Jane in her shopping  if she __ me.	will ask	would ask	ask	asked
399	__ for a trip last Saturday?	did you  go	do you go	will you go	have you gone
400	I was always taught that it was __ to interrupt.	rude	coarse	rough	crude
401	Marjorie was __ better than her sister at  tennis.	yards	feet	miles	inches
402	She lives  near to me and I often speak to her on my __ to work.	way	travel	street	road
403	The noise of the traffic  prevented me from __ to sleep.	falling	starting	beginning	going
404	The horse 'Red Rum' is famous  for __ the Grand National race three times.	gaining	winning	conquering	succeeding
405	"Before we start the  lesson, I'd like to __ what we did yesterday."	run up	run  through	run along	run into
406	"Well, I think it's time we  __ on our way."	were	are	have been	will be
407	Would  you __ looking after the baby for me while I'm out?	agree	like	matter	mind
408	It seems that the world record  for this event is almost impossible to __.	meet	compare	beat	balance
409	They're old customers of  ours. We've been __ with them for many years.	competing	dealing	shopping	supplying
410	"She applied for training  as a pilot, but they turned her __ because of her poor eyesight."	back	up	over	down
411	Patricia wasn't  accustomed __ by coach.	travel	travelling	to  travel	to travelling
412	He's left his book at home; he's always  so __.	forgetting	forgotten	forgettable	forgetful
413	Newly-__ coins  always look clean and shining.	moulded	minted	pressed	printed
414	Sorry I'm late. I had to go to the library to  __ some books.	give	buy	lend	return
415	It was  such a hot day __ the surface of the road began to melt.	as	that	than	so
416	Mrs Maudsley always  __ out in a crowd because she wore such large hats.	found	looked	stood	showed
417	Please apply  __ the secretary for information.	for	to	at	on
418	"Though the concert  had been enjoyable, it was overly __ and the three encores seemed  __."	extensive...curtailed	protracted...gratuitous	inaudible...superfluous	sublime...fortuitous
419	"A skillful __, the Dean adopted a  posture of patience and __ toward the protestors, rather than rejecting  their demands outright."	administrator...arrogance	academician...understanding	negotiator...compromise	pundit...tolerance
420	Could you give me a rough __ of what the  job might cost?	value	correlation	estimate	account
421	There is a __ of $10.000 for information  leading to the arrest of criminals.	present	gift	prize	reward
422	He didn't pay for the meal  himself - he put it on his company's __ account.	price	value	cost	expense
423	I knew him __ I was a  child.	until	when	as	during
424	We  __ them run away from the accident.	allowed	remembered	saw	felt
425	"I only have __ days left  in England, so I want to see as much as possible before I go."	A little	little	a few	few
426	He pretended that he agreed  with me to avoid __ my feelings.	hurting	to  hurt	hurt	having hurt
427	Many fires could be  __ if new regulations were introduced.	prevented	preserved	protected	excluded
428	My watch had stopped so I  had no way of knowing the right __.	hour	moment	time	o'clock
429	A professor recently came  __ an unknown poem by Shakespeare while he was looking through an old  book.	round	off	up against	across
430	I could  never beat Harry at chess; I'm just not in his __.	group	class	type	set
431	Too much exercise  can be harmful but walking is good __ you.	for	by	to	with
432	I find it difficult  to talk to Cecilia because we have so __ in common.	few	small	little	less
433	Daniel's  attitude __ his parents is very disrespectful.	as far  as	by	as for	towards
434	"Surely David's not going to drive, __ he?"	does	is	isn't	will
435	You __ pay  for this information. It's free.	mustn't	don't have  to	shouldn't	ought not to
436	You learn a  language best __.	when being brought up to it	by being brought up to  it	by being brought among it	while being brought into  it
437	"It is generally assumed, however, that urgent discussions will  continue __ to bring the two sides together."	behind the  bars	behind the scenes	behind the curtain	behind the  scene
438	"His house is nothing out of the __, it's just an  average four-room house."	normal	typical	ordinary	usual
439	a ladies' man = __.	a man most  women fall for	a man who enjoys the company of  women	a man who dresses up like a woman	a man everybody feels sorry  for
440	"Mary was very annoyed that her secretary did not meet her  deadlines, and she warned her that her laziness and __ could result in her  dismissal."	procrastination	ambition	zeal	fortitude
441	"The butcher cut some steak, __ it up and  handed it to me."	closed	wrapped	wound	strung
442	Mr Willis  __ to take a breath test after the accident.	denied	disliked	refused	objected
443	I do my best to practise  the piano every day __ it is difficult sometimes.	even	when	also	although
444	The goalkeeper's arm was  so __ injured that he couldn't play in the final.	deeply	badly	heavily	hardly
445	His house is a __  between a palace and a hotel.	combination	union	cross	link
446	The young  man __ case was described in the article never fully recovered his memory.	whose	what	whom	that
447	I __ put my  money there if I didn't think it was safe.	wouldn't	hadn't	didn't	oughtn't
448	Driving in London is  supposed to be confusing but I didn't find it at __ difficult.	all	first	once	least
